,小说名,作者名,作者主页,热度值,热度单位,字数,类别1,类别2,最新章节,更新时间,小说链接
0,盖世神医,狐颜乱语,https://www.qimao.com/zuozhe/%E7%8B%90%E9%A2%9C%E4%B9%B1%E8%AF%AD_14/,385.1,万,391.36万字,都市人生,都市修仙,第1908章  黄金圣树果实,2023-05-31 22:43:15,https://www.qimao.com/shuku/195958/
1,绝世强龙,张龙虎,https://www.qimao.com/zuozhe/%E5%BC%A0%E9%BE%99%E8%99%8E_14/,211.2,万,415.84万字,都市人生,都市高手,第1924章  交互,2023-05-31 19:52:16,https://www.qimao.com/shuku/215780/
2,寒门枭士,北川,https://www.qimao.com/zuozhe/%E5%8C%97%E5%B7%9D_14/,123.2,万,321.01万字,历史,架空历史,第1549章  要点脸,2023-05-31 22:41:20,https://www.qimao.com/shuku/215169/
3,武逆九千界,虚尘,https://www.qimao.com/zuozhe/%E8%99%9A%E5%B0%98_14/,63.2,万,712.99万字,玄幻奇幻,东方玄幻,第3316章  大帝十三斩，碾压真灵九变,2023-05-31 21:10:35,https://www.qimao.com/shuku/215086/
4,混沌剑帝,运也,https://www.qimao.com/zuozhe/%E8%BF%90%E4%B9%9F_14/,56.7,万,331.92万字,玄幻奇幻,东方玄幻,第1487章  敢嚣张跋扈？,2023-05-31 00:40:12,https://www.qimao.com/shuku/213189/
5,吞噬古帝,黑白仙鹤,https://www.qimao.com/zuozhe/%E9%BB%91%E7%99%BD%E4%BB%99%E9%B9%A4_14/,53.2,万,674.46万字,玄幻奇幻,东方玄幻,第3189章  互助互利,2023-05-31 12:10:36,https://www.qimao.com/shuku/213092/
6,最强末世进化,蔡四爷,https://www.qimao.com/zuozhe/%E8%94%A1%E5%9B%9B%E7%88%B7_14/,47.3,万,726.54万字,科幻,末世危机,第2446章  新伙伴……大家伙,2023-05-31 23:47:22,https://www.qimao.com/shuku/151762/
7,九阳武神,我吃面包,https://www.qimao.com/zuozhe/%E6%88%91%E5%90%83%E9%9D%A2%E5%8C%85_14/,41.6,万,619.95万字,玄幻奇幻,东方玄幻,第2629章  杀五仙毒王,2023-05-31 23:51:23,https://www.qimao.com/shuku/149769/
8,武帝归来,修果,https://www.qimao.com/zuozhe/%E4%BF%AE%E6%9E%9C_14/,40.6,万,437.23万字,都市人生,都市修仙,第1953章  不当人子,2022-08-31 22:20:13,https://www.qimao.com/shuku/213692/
9,荒古武神,化十,https://www.qimao.com/zuozhe/%E5%8C%96%E5%8D%81_14/,38.3,万,409.97万字,玄幻奇幻,东方玄幻,第1734章  找到线索了,2023-05-31 18:01:24,https://www.qimao.com/shuku/216404/
10,九天斩神诀,小知了,https://www.qimao.com/zuozhe/%E5%B0%8F%E7%9F%A5%E4%BA%86_14/,37.7,万,370.83万字,玄幻奇幻,异界大陆,第1113章  魔树根果,2023-05-31 01:01:10,https://www.qimao.com/shuku/213103/
11,极道剑尊,人间又污秽了,https://www.qimao.com/zuozhe/%E4%BA%BA%E9%97%B4%E5%8F%88%E6%B1%A1%E7%A7%BD%E4%BA%86_14/,37.3,万,374.33万字,玄幻奇幻,东方玄幻,第1567章  小瞧梅运的下场！,2023-05-31 08:11:50,https://www.qimao.com/shuku/219040/
12,开局截胡五虎上将,孔明很愁,https://www.qimao.com/zuozhe/%E5%AD%94%E6%98%8E%E5%BE%88%E6%84%81_14/,34.0,万,336.4万字,历史,穿越历史,第1642章  出兵前夕,2023-05-31 00:11:04,https://www.qimao.com/shuku/1648167/
13,鸿蒙霸体诀,鱼初见,https://www.qimao.com/zuozhe/%E9%B1%BC%E5%88%9D%E8%A7%81_14/,33.8,万,176.71万字,玄幻奇幻,东方玄幻,第614章  借刀杀人，暗中围剿,2023-05-31 20:13:54,https://www.qimao.com/shuku/1655407/
14,吞天造化经,鬼疯子,https://www.qimao.com/zuozhe/%E9%AC%BC%E7%96%AF%E5%AD%90_14/,32.4,万,306.07万字,玄幻奇幻,东方玄幻,第1356章  活下去的机会，抵达渡口,2023-05-31 00:51:13,https://www.qimao.com/shuku/215874/
